Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Month,DayOfWeek
750-67-8428,a,yangon,member,female,health and beauty,0.719,0.667,0.572,0.572,2019-01-05,13:08,ewallet,0.572,0.0,0.572,0.85,January,Saturday
226-31-3081,c,naypyitaw,normal,female,electronic accessories,0.058,0.444,0.074,0.074,2019-03-08,10:29,cash,0.074,0.0,0.074,0.933,March,Friday
631-41-3108,a,yangon,normal,male,home and lifestyle,0.403,0.667,0.35,0.35,2019-03-03,13:23,credit card,0.35,0.0,0.35,0.567,March,Sunday
123-19-1176,a,yangon,member,male,health and beauty,0.536,0.778,0.508,0.508,2019-01-27,20:33,ewallet,0.508,0.0,0.508,0.733,January,Sunday
373-73-7910,a,yangon,normal,male,sports and travel,0.848,0.667,0.663,0.663,2019-02-08,10:37,ewallet,0.663,0.0,0.663,0.217,February,Friday
699-14-3026,c,naypyitaw,normal,male,electronic accessories,0.838,0.667,0.656,0.656,2019-03-25,18:30,ewallet,0.656,0.0,0.656,0.017,March,Monday
355-53-5943,a,yangon,member,female,electronic accessories,0.654,0.556,0.449,0.449,2019-02-25,14:36,ewallet,0.449,0.0,0.449,0.3,February,Monday
315-22-5665,c,naypyitaw,normal,female,home and lifestyle,0.706,1.0,0.809,0.809,2019-02-24,11:38,ewallet,0.809,0.0,0.809,0.667,February,Sunday
665-32-9167,a,yangon,member,female,health and beauty,0.291,0.111,0.07,0.07,2019-01-10,17:15,credit card,0.07,0.0,0.07,0.533,January,Thursday
692-92-5582,b,mandalay,member,female,food and beverages,0.498,0.222,0.172,0.172,2019-02-20,13:27,credit card,0.172,0.0,0.172,0.317,February,Wednesday
351-62-0822,b,mandalay,member,female,fashion accessories,0.049,0.333,0.053,0.053,2019-02-06,18:07,ewallet,0.053,0.0,0.053,0.083,February,Wednesday
529-56-3974,b,mandalay,member,male,electronic accessories,0.172,0.333,0.102,0.102,2019-03-09,17:03,cash,0.102,0.0,0.102,0.467,March,Saturday
365-64-0515,a,yangon,normal,female,electronic accessories,0.41,0.444,0.251,0.251,2019-02-12,10:25,ewallet,0.251,0.0,0.251,0.517,February,Tuesday
252-56-2699,a,yangon,normal,male,food and beverages,0.368,1.0,0.471,0.471,2019-02-07,16:48,ewallet,0.471,0.0,0.471,0.7,February,Thursday
829-34-3910,a,yangon,normal,female,health and beauty,0.682,1.0,0.785,0.785,2019-03-29,19:21,cash,0.785,0.0,0.785,0.283,March,Friday
299-46-1805,b,mandalay,member,female,sports and travel,0.931,0.556,0.616,0.616,2019-01-15,16:19,cash,0.616,0.0,0.616,0.083,January,Tuesday
656-95-9349,a,yangon,member,female,health and beauty,0.655,0.667,0.527,0.527,2019-03-11,11:03,credit card,0.527,0.0,0.527,0.1,March,Monday
765-26-6951,a,yangon,normal,male,sports and travel,0.696,0.556,0.475,0.475,2019-01-01,10:39,credit card,0.475,0.0,0.475,0.483,January,Tuesday
329-62-1586,a,yangon,normal,male,food and beverages,0.496,0.222,0.172,0.172,2019-01-21,18:00,credit card,0.172,0.0,0.172,0.767,January,Monday
319-50-3348,b,mandalay,normal,female,home and lifestyle,0.336,0.111,0.079,0.079,2019-03-11,15:30,ewallet,0.079,0.0,0.079,0.067,March,Monday
